DATE,MONTH,YEAR,DRIVER,GENDER,TYPE,CITY,PRICE,PAYMENT,START TIME,END TIME,HOUR,CAR,MILES,TRIP TIME
6/16/2011,6,2011,Faris,m,-,San Francisco,,,9:57 PM,,21,,,
7/3/2011,7,2011,Cal,m,-,San Francisco,$19.00 ,,1:13 AM,1:26 AM,1,,,
7/10/2011,7,2011,Kader,m,-,San Francisco,,,11:49 PM,,23,,,
7/11/2011,7,2011,Mohammad,m,-,San Francisco,$65.00 ,,5:36 AM,6:08 AM,5,,,
7/18/2011,7,2011,Kamal,m,-,San Francisco,$65.00 ,,12:10 PM,12:41 PM,12,,,
9/25/2011,9,2011,Angel,m,-,San Francisco,$55.00 ,2802,4:35 AM,5:08 AM,4,,,
10/14/2011,10,2011,Mehdi,m,-,San Francisco,$15.00 ,2802,9:43 PM,9:54 PM,21,,,
12/17/2011,12,2011,Lazhar,m,-,San Francisco,$23.00 ,2802,4:37 PM,4:49 PM,16,,,
12/17/2011,12,2011,Chris,m,-,San Francisco,$20.00 ,2802,12:51 PM,1:04 PM,12,,,
1/6/2012,1,2012,Dahmane,m,-,San Francisco,$15.00 ,2802,10:54 PM,11:05 PM,22,,,
1/14/2012,1,2012,Slim,m,-,San Francisco,$15.00 ,2802,4:50 AM,5:01 AM,4,,,
1/31/2012,1,2012,Yousef,m,-,San Francisco,$65.00 ,2802,8:23 AM,8:51 AM,8,,,
2/11/2012,2,2012,Fause,m,-,San Francisco,$65.00 ,2802,5:49 AM,6:16 AM,5,,,
3/2/2012,3,2012,Mehdi,m,-,San Francisco,$65.00 ,2802,2:22 PM,2:57 PM,14,,,
3/13/2012,3,2012,Djaafar,m,-,San Francisco,$15.00 ,2802,5:37 PM,5:42 PM,17,,,
3/16/2012,3,2012,Fause,m,-,San Francisco,$15.00 ,2802,9:44 PM,9:49 PM,21,,,
3/31/2012,3,2012,Ashraf,m,-,San Francisco,$28.00 ,2802,7:52 AM,8:11 AM,7,,,
4/12/2012,4,2012,-,m,-,Los Angeles,,2802,8:29 AM,Dropoff time unknown,8,,,
4/18/2012,4,2012,Kidas,m,-,San Francisco,$32.00 ,2802,10:55 AM,11:14 AM,10,,,
4/29/2012,4,2012,Sam,m,-,San Francisco,$34.00 ,2802,9:40 PM,9:58 PM,21,,,
4/29/2012,4,2012,Ash,m,-,Chicago,$75.00 ,2802,1:38 PM,2:33 PM,13,,,
5/14/2012,5,2012,Tulio,m,-,San Francisco,$65.00 ,2802,8:29 AM,9:15 AM,8,,,
5/16/2012,5,2012,Mike,m,-,Boston,$45.00 ,2802,3:52 PM,4:12 PM,15,,,
5/16/2012,5,2012,Shifa,m,-,Boston,,2802,9:17 AM,,9,,,
5/16/2012,5,2012,Shifa,m,-,Boston,,2802,9:16 AM,,9,,,
5/16/2012,5,2012,Mohamed,m,-,Boston,,2802,9:11 AM,,9,,,
5/25/2012,5,2012,Oliver,m,-,San Francisco,$35.00 ,2802,7:40 PM,8:02 PM,19,,,
6/3/2012,6,2012,Luis,m,-,San Francisco,,2802,7:44 PM,,19,,,
6/25/2012,6,2012,Nino,m,-,San Francisco,$19.00 ,2802,7:07 PM,7:23 PM,19,,,
8/29/2012,8,2012,Igor,m,BLACK,San Francisco,$20.00 ,2802,10:00 AM,10:17 AM,10,,,
9/10/2012,9,2012,Dave,m,BLACK,San Francisco,,2802,9:58 PM,,21,BLACK CAR,0.00,0:00:00
9/10/2012,9,2012,Dave,m,BLACK,San Francisco,,2802,9:56 PM,,21,BLACK CAR,0.00,0:00:00
9/20/2012,9,2012,Joseph,m,BLACK,San Francisco,,2802,4:23 AM,,4,BLACK CAR,0.00,0:00:00
11/2/2012,11,2012,younes,m,BLACK,San Francisco,$38.00 ,2802,7:17 PM,7:37 PM,19,,,
11/8/2012,11,2012,Marvin,m,uberX,San Francisco,$55.00 ,2802,8:54 PM,9:28 PM,20,,,
12/14/2012,12,2012,Leonid,m,TAXI,San Francisco,$15.76 ,2802,8:54 AM,9:13 AM,8,TAXI,2.20,0:10:32
12/15/2012,12,2012,Buya,m,BLACK,San Francisco,$22.00 ,2802,7:27 PM,7:35 PM,19,BLACK CAR,0.79,0:03:28
12/15/2012,12,2012,-,m,uberX,San Francisco,,2802,7:26 PM,Dropoff time unknown,19,,,
12/15/2012,12,2012,-,m,TAXI,San Francisco,,2802,7:26 PM,Dropoff time unknown,19,,,
12/15/2012,12,2012,-,m,TAXI,San Francisco,,2802,7:26 PM,Dropoff time unknown,19,,,
1/13/2013,1,2013,Layth,m,uberX,San Francisco,$55.00 ,2802,8:33 PM,9:08 PM,20,uberX,16.09,0:26:31
2/3/2013,2,2013,Janice,f,BLACK,San Francisco,$65.00 ,2802,9:10 PM,9:59 PM,21,BLACK CAR,19.23,0:36:24
2/3/2013,2,2013,Eftikhar,m,BLACK,San Francisco,$37.00 ,2802,3:12 PM,3:33 PM,15,BLACK CAR,2.29,0:10:00
2/3/2013,2,2013,-,m,uberX,San Francisco,,2802,3:12 PM,Dropoff time unknown,15,,,
2/3/2013,2,2013,-,m,TAXI,San Francisco,,2802,3:12 PM,Dropoff time unknown,15,,,
2/3/2013,2,2013,-,m,TAXI,San Francisco,,2802,3:11 PM,Dropoff time unknown,15,,,
2/15/2013,2,2013,Isaac,m,SUV,San Francisco,,2802,11:52 PM,,23,SUV,0.00,0:00:00
2/15/2013,2,2013,Sammy,m,SUV,San Francisco,$46.00 ,2802,11:59 PM,12:25 AM,23,SUV,3.75,0:18:08
2/15/2013,2,2013,Aaron,m,SUV,San Francisco,$46.00 ,2802,6:40 PM,7:06 PM,18,SUV,2.86,0:21:04
2/16/2013,2,2013,Arvind,m,SUV,San Francisco,,2802,1:51 AM,,1,SUV,0.00,0:00:00
2/24/2013,2,2013,Rachid,m,uberX,San Francisco,$23.00 ,2802,1:31 AM,1:51 AM,1,uberX,3.41,0:16:04
2/27/2013,2,2013,-,m,,Las Vegas,,2802,2:57 PM,Dropoff time unknown,14,,,
3/2/2013,3,2013,Man,m,uberX,San Francisco,,2802,11:27 PM,,23,uberX,0.00,0:00:00
4/7/2013,4,2013,Joseph,m,uberX,San Francisco,,2802,8:18 AM,Dropoff time unknown,8,uberX,0.00,0:00:00
4/9/2013,4,2013,Khawar,m,UberBLACK,Washington D.C.,$64.00 ,2802,2:27 PM,3:33 PM,14,BLACK CAR,13.54,0:37:56
4/10/2013,4,2013,Jose,m,UberBLACK,New York City,$10.00 ,2802,6:06 AM,,6,BLACK CAR,0.00,0:00:00
4/14/2013,4,2013,abdurrahman (KAPLAN),m,BLACK,San Francisco,$10.00 ,2802,4:47 AM,,4,BLACK CAR,0.00,0:00:00
4/14/2013,4,2013,Owdi,m,uberX,San Francisco,,2802,4:46 AM,,4,uberX,0.00,0:00:00
6/22/2013,6,2013,Hany,m,BLACK,San Francisco,$15.00 ,4977,8:34 PM,8:46 PM,20,BLACK CAR,0.70,0:04:34
6/23/2013,6,2013,ILKIN,m,BLACK,San Francisco,$29.00 ,4977,2:24 AM,2:37 AM,2,BLACK CAR,1.65,0:11:14
6/26/2013,6,2013,LUIZ,m,BLACK,San Francisco,$38.00 ,4977,8:48 AM,9:31 AM,8,BLACK CAR,3.92,0:25:26
6/26/2013,6,2013,-,m,TAXI,San Francisco,,4977,8:47 AM,Dropoff time unknown,8,,,
7/12/2013,7,2013,Marco,m,uberX,San Francisco,$10.00 ,4977,9:29 PM,9:50 PM,21,uberX,1.04,0:04:40
7/21/2013,7,2013,Mashhour,m,,San Francisco,$38.00 ,4977,3:03 PM,3:21 PM,15,BLACK CAR,7.43,0:10:18
7/30/2013,7,2013,Joe,m,,San Francisco,$115.00 ,4977,1:49 PM,2:36 PM,13,BLACK CAR,26.00,0:33:06
8/15/2013,8,2013,Wahdat,m,uberX,New York City,,4977,8:20 PM,,20,uberX,0.00,0:00:00
8/15/2013,8,2013,-,m,Yellow,New York City,,4977,7:25 PM,Dropoff time unknown,19,,,
8/17/2013,8,2013,MALIK,m,uberX,San Francisco,$19.00 ,4977,9:26 PM,9:50 PM,21,uberX,4.05,0:19:59
8/18/2013,8,2013,Yousef,m,SUV,San Francisco,$25.00 ,4977,12:23 AM,12:33 AM,0,SUV,0.28,0:03:27
8/21/2013,8,2013,Najib,m,,San Francisco,,4977,8:54 PM,,20,BLACK CAR,0.00,0:00:00
8/21/2013,8,2013,Najib,m,,San Francisco,$17.00 ,4977,8:55 PM,9:12 PM,20,BLACK CAR,1.63,0:07:48
9/7/2013,9,2013,Dejene,m,uberX,San Francisco,$8.00 ,4977,6:33 PM,7:04 PM,18,uberX,1.01,0:08:22
9/8/2013,9,2013,Burenbayaer,m,uberX,San Francisco,$5.00 ,4977,1:21 AM,,1,uberX,0.00,0:00:00
9/13/2013,9,2013,Osama,m,TAXI,San Francisco,$7.80 ,4977,10:35 PM,10:49 PM,22,TAXI,1.08,0:05:12
9/14/2013,9,2013,Paul,m,uberX,San Francisco,,4977,1:48 AM,,1,uberX,0.00,0:00:00
9/14/2013,9,2013,Ion,m,uberX,San Francisco,$12.00 ,4977,1:50 AM,1:59 AM,1,uberX,0.80,0:04:42
10/5/2013,10,2013,Ali,m,SUV,San Francisco,$10.00 ,4977,8:09 PM,,20,SUV,0.00,0:00:00
10/5/2013,10,2013,Naidan,m,SUV,San Francisco,$10.00 ,4977,7:48 PM,,19,SUV,0.00,0:00:00
10/5/2013,10,2013,Naidan,m,SUV,San Francisco,,4977,7:43 PM,Dropoff time unknown,19,SUV,0.00,0:00:00
10/5/2013,10,2013,Ademar,m,BLACK,San Francisco,$35.00 ,4977,3:26 PM,3:56 PM,15,BLACK CAR,3.57,0:24:03
10/5/2013,10,2013,-,m,SUV,San Francisco,,4977,7:42 PM,Dropoff time unknown,19,,,
10/5/2013,10,2013,-,m,SUV,San Francisco,,4977,7:42 PM,Dropoff time unknown,19,,,
10/5/2013,10,2013,-,m,SUV,San Francisco,,4977,7:42 PM,Dropoff time unknown,19,,,
10/5/2013,10,2013,-,m,BLACK,San Francisco,,4977,7:39 PM,Dropoff time unknown,19,,,
10/5/2013,10,2013,-,m,BLACK,San Francisco,,4977,7:39 PM,Dropoff time unknown,19,,,
10/14/2013,10,2013,KHALID,m,TAXI,San Francisco,,4977,12:47 PM,,12,TAXI,0.00,0:00:00
10/14/2013,10,2013,hung,m,uberX,San Francisco,$15.00 ,4977,10:13 AM,10:30 AM,10,uberX,3.15,0:13:50
10/14/2013,10,2013,Joe,m,,San Francisco,$45.00 ,4977,4:23 PM,4:56 PM,16,BLACK CAR,7.65,0:23:06
10/14/2013,10,2013,Ali,m,,San Francisco,$41.00 ,4977,6:09 PM,6:51 PM,18,BLACK CAR,6.17,0:24:03
10/14/2013,10,2013,Ahmed,m,,San Francisco,$29.00 ,4977,3:40 PM,4:17 PM,15,uberX,6.68,0:28:51
10/19/2013,10,2013,Alaa,m,uberX,San Francisco,$12.00 ,4977,7:32 PM,7:50 PM,19,uberX,0.68,0:06:29
10/20/2013,10,2013,Mohamed,m,uberX,San Francisco,,4977,12:18 AM,,0,uberX,0.00,0:00:00
10/26/2013,10,2013,James,m,BLACK,San Francisco,$18.00 ,4977,9:23 PM,9:44 PM,21,BLACK CAR,1.67,0:09:22
10/26/2013,10,2013,Jack,m,SUV,San Francisco,$143.00 ,4977,11:36 PM,12:05 AM,23,SUV,4.20,0:21:35
10/27/2013,10,2013,Hiruy,m,uberX,San Francisco,$5.00 ,4977,3:51 AM,,3,uberX,0.00,0:00:00
11/9/2013,11,2013,Micheal,m,uberX,San Francisco,$8.00 ,4977,9:49 AM,10:03 AM,9,uberX,1.04,0:06:03
11/11/2013,11,2013,Aqeel,m,,San Francisco,$15.00 ,4977,5:30 PM,5:59 PM,17,BLACK CAR,0.59,0:06:13
11/16/2013,11,2013,Johnny,m,uberX,San Francisco,$11.00 ,5534,8:44 PM,9:05 PM,20,uberX,1.90,0:11:37
11/16/2013,11,2013,-,m,TAXI,San Francisco,,5534,11:34 PM,Dropoff time unknown,23,,,
11/17/2013,11,2013,Dawit,m,uberX,San Francisco,,5534,2:25 AM,,2,uberX,0.00,0:00:00
11/17/2013,11,2013,Eyasu,m,BLACK,San Francisco,,5534,2:22 AM,,2,BLACK CAR,0.00,0:00:00
11/17/2013,11,2013,Edip,m,BLACK,San Francisco,$10.00 ,5534,12:03 AM,Dropoff time unknown,0,BLACK CAR,0.00,0:00:00
11/17/2013,11,2013,Tal,m,TAXI,San Francisco,$11.65 ,5534,9:20 AM,9:33 AM,9,TAXI,2.06,0:07:52
11/17/2013,11,2013,Maria,m,uberX,San Francisco,$15.00 ,5534,1:13 AM,1:31 AM,1,uberX,3.49,0:11:22
11/17/2013,11,2013,NAPOLION,m,BLACK,San Francisco,$28.00 ,5534,2:26 AM,2:50 AM,2,BLACK CAR,0.55,0:19:55
11/18/2013,11,2013,RAKESH,m,uberX,San Francisco,$8.00 ,5534,1:39 PM,1:52 PM,13,uberX,0.72,0:03:51
11/19/2013,11,2013,Mikhail,m,,San Francisco,$75.00 ,5534,4:49 AM,5:32 AM,4,uberX,25.92,0:27:31
12/19/2013,12,2013,Wint,m,uberX,San Francisco,,,10:36 PM,,22,uberX,0.00,0:00:00
12/19/2013,12,2013,Ayaz,m,uberX,San Francisco,$5.00 ,5534,8:12 PM,Dropoff time unknown,20,uberX,0.00,0:00:00
12/19/2013,12,2013,Nanda,m,uberX,San Francisco,$5.00 ,5534,8:03 PM,,20,uberX,0.00,0:00:00
12/19/2013,12,2013,Adlan,m,uberX,San Francisco,$8.00 ,5534,7:43 PM,7:59 PM,19,uberX,0.30,0:02:36
12/27/2013,12,2013,K,m,uberX,San Francisco,$116.00 ,,11:37 AM,12:40 PM,11,uberX,41.23,0:52:28
1/11/2014,1,2014,Anna,f,uberX,San Francisco,$10.55 ,,8:45 AM,9:08 AM,8,uberX,2.77,0:11:19
1/18/2014,1,2014,Adel,f,uberX,San Francisco,$23.44 ,,10:40 PM,11:00 PM,22,uberX,2.68,0:11:20
1/19/2014,1,2014,Fanfan,m,uberX,San Francisco,$12.48 ,,8:38 AM,9:03 AM,8,uberX,2.56,0:10:30
1/26/2014,1,2014,wail,m,UberBLACK,Los Angeles,,,10:57 AM,,10,BLACK,0.00,0:00:00
1/26/2014,1,2014,S H,m,UberBLACK,Los Angeles,,,10:47 AM,,10,BLACK,0.00,0:00:00
1/28/2014,1,2014,Mostafa,m,UberSUV,Los Angeles,$79.00 ,,1:03 PM,2:09 PM,13,SUV,10.81,0:52:55
2/9/2014,2,2014,Jan,f,BLACK,San Francisco,,,12:50 AM,,0,BLACK CAR,0.00,0:00:00
2/9/2014,2,2014,NABEEL,m,uberX,San Francisco,,,12:50 AM,,0,uberX,0.00,0:00:00
2/9/2014,2,2014,Faisal,m,BLACK,San Francisco,$17.00 ,,12:03 AM,12:21 AM,0,BLACK CAR,1.76,0:08:34
2/9/2014,2,2014,FRANCISCO,m,uberX,San Francisco,$9.53 ,,7:22 AM,7:42 AM,7,uberX,2.42,0:09:41
2/15/2014,2,2014,Mohammed,m,uberX,San Francisco,$5.00 ,,10:05 PM,Dropoff time unknown,22,uberX,0.00,0:00:00
2/15/2014,2,2014,JONATHAN,m,uberX,San Francisco,$5.00 ,,9:54 PM,Dropoff time unknown,21,uberX,0.00,0:00:00
2/15/2014,2,2014,Ben,m,uberX,San Francisco,$10.70 ,,7:01 PM,7:07 PM,19,uberX,0.67,0:04:30
2/15/2014,2,2014,Murat,m,uberX,San Francisco,$11.31 ,,10:49 PM,11:13 PM,22,uberX,2.49,0:15:17
2/15/2014,2,2014,-,m,uberX,San Francisco,,,10:46 PM,Dropoff time unknown,22,,,
2/15/2014,2,2014,-,m,uberX,San Francisco,,,10:43 PM,Dropoff time unknown,22,,,
2/16/2014,2,2014,Antonio,m,uberX,San Francisco,,,10:53 AM,,10,uberX,0.00,0:00:00
2/20/2014,2,2014,Ehsan,m,TAXI,San Francisco,,,10:48 PM,,22,TAXI,0.00,0:00:00
2/20/2014,2,2014,Ehsan,m,TAXI,San Francisco,$7.25 ,,10:54 PM,11:02 PM,22,TAXI,1.00,0:03:36
2/21/2014,2,2014,Sergiy,m,,San Francisco,$11.34 ,,2:20 PM,2:43 PM,14,uberX,3.60,0:09:48
2/23/2014,2,2014,Timurjon,m,BLACK,San Francisco,$22.00 ,,1:50 AM,2:00 AM,1,BLACK CAR,0.84,0:03:42
2/23/2014,2,2014,Robel,m,uberX,San Francisco,$7.48 ,,12:20 AM,12:35 AM,0,uberX,1.51,0:07:22
2/23/2014,2,2014,-,m,uberX,San Francisco,,,1:50 AM,Dropoff time unknown,1,,,
2/23/2014,2,2014,-,m,uberX,San Francisco,,,1:49 AM,Dropoff time unknown,1,,,
2/24/2014,2,2014,WEIBIN,m,uberX,San Francisco,,,10:32 PM,,22,uberX,0.00,0:00:00
2/24/2014,2,2014,Kent,m,uberX,San Francisco,,,10:31 PM,,22,uberX,0.00,0:00:00
2/24/2014,2,2014,Ismail,m,SUV,San Francisco,,,10:09 PM,Dropoff time unknown,22,SUV,0.00,0:00:00
2/24/2014,2,2014,Tony,m,SUV,San Francisco,,,9:52 PM,,21,SUV,0.00,0:00:00
2/24/2014,2,2014,Brian,m,SUV,San Francisco,$25.00 ,,11:28 PM,11:39 PM,23,SUV,0.92,0:08:00
2/24/2014,2,2014,nizar,m,uberX,San Francisco,$21.88 ,,8:22 AM,9:01 AM,8,uberX,3.99,0:28:22
2/25/2014,2,2014,Peter,m,SUV,San Francisco,$46.00 ,,12:34 AM,,0,SUV,2.27,0:14:10
2/25/2014,2,2014,rashed,m,uberX,San Francisco,$18.48 ,,9:00 AM,9:28 AM,9,uberX,3.99,0:19:21
2/26/2014,2,2014,Vazgen,m,SUV,San Francisco,$70.00 ,,6:12 PM,6:31 PM,18,SUV,0.91,0:07:53
2/26/2014,2,2014,Junior,m,SUV,San Francisco,$76.00 ,,7:59 PM,8:28 PM,19,SUV,1.19,0:09:25
2/26/2014,2,2014,Ismail,m,SUV,San Francisco,$32.00 ,,9:54 PM,10:17 PM,21,SUV,1.08,0:15:26
2/26/2014,2,2014,Clyde,m,BLACK,San Francisco,$40.00 ,,9:03 AM,9:44 AM,9,BLACK CAR,4.86,0:29:27
2/26/2014,2,2014,-,m,TAXI,San Francisco,,,9:03 AM,Dropoff time unknown,9,,,
2/27/2014,2,2014,Yosef,m,BLACK,San Francisco,,,9:10 PM,,21,BLACK CAR,0.00,0:00:00
2/27/2014,2,2014,Bernz,m,uberX,San Francisco,,,4:19 PM,,16,uberX,0.00,0:00:00
2/27/2014,2,2014,Mohammad,m,uberX,San Francisco,$5.00 ,,12:23 AM,,0,uberX,0.00,0:00:00
2/27/2014,2,2014,Adelio,m,TAXI,San Francisco,,,12:22 AM,,0,TAXI,0.00,0:00:00
2/27/2014,2,2014,Andre,m,TAXI,San Francisco,$18.25 ,,10:00 AM,10:26 AM,10,TAXI,3.86,0:17:01
2/27/2014,2,2014,Yosef,m,BLACK,San Francisco,$36.00 ,,9:11 PM,9:36 PM,21,BLACK CAR,4.91,0:22:58
2/28/2014,2,2014,Samuel,m,uberX,San Francisco,$5.00 ,,3:07 PM,3:20 PM,15,uberX,0.15,0:00:43
3/1/2014,3,2014,ali,m,uberX,San Francisco,,,8:57 AM,,8,uberX,0.00,0:00:00
3/7/2014,3,2014,RENATO,m,uberX,San Francisco,,,11:34 PM,Dropoff time unknown,23,uberX,0.00,0:00:00
3/8/2014,3,2014,ALCUE,m,uberX,San Francisco,$17.58 ,,7:29 AM,8:09 AM,7,uberX,4.88,0:24:12
3/11/2014,3,2014,Amanuel,m,TAXI,San Francisco,$18.25 ,,9:48 AM,10:18 AM,9,TAXI,3.95,0:17:33
3/11/2014,3,2014,Gassan,m,uberX,San Francisco,$35.18 ,,1:17 PM,1:44 PM,13,uberX,14.48,0:21:35
3/16/2014,3,2014,AMIROUCHE,m,uberX,San Francisco,$16.95 ,,12:36 PM,1:02 PM,12,uberX,4.75,0:22:43
3/30/2014,3,2014,samir,m,uberX,San Francisco,$7.78 ,1415,12:51 AM,1:00 AM,0,uberX,1.06,0:05:26
3/30/2014,3,2014,Darrell,m,BLACK,San Francisco,$15.00 ,1415,1:24 AM,1:30 AM,1,BLACK CAR,1.04,0:05:38
3/30/2014,3,2014,-,m,TAXI,San Francisco,,1415,1:23 AM,Dropoff time unknown,1,,,
4/1/2014,4,2014,RAMJI,m,uberX,San Francisco,$6.77 ,1415,4:32 PM,4:44 PM,16,uberX,1.20,0:06:35
4/1/2014,4,2014,Fay,m,uberX,San Francisco,$9.27 ,1415,1:14 PM,1:29 PM,13,uberX,2.23,0:09:44
4/1/2014,4,2014,Amor,m,uberX,San Francisco,$8.86 ,1415,11:31 AM,11:45 AM,11,uberX,1.83,0:10:22
4/3/2014,4,2014,BASSEM,m,uberX,Los Angeles,$10.51 ,1415,11:39 PM,11:59 PM,23,uberX,3.88,0:13:58
4/8/2014,4,2014,Osman,m,UberBLACK,Phoenix,$39.00 ,1415,10:58 PM,11:25 PM,22,BLACK CAR,9.26,0:16:29
4/9/2014,4,2014,Jerry,m,uberX,Phoenix,,1415,2:00 PM,,14,uberX,0.00,0:00:00
4/9/2014,4,2014,M Z,m,uberX,Phoenix,$14.00 ,1415,6:26 PM,6:50 PM,18,uberX,5.81,0:10:04
4/9/2014,4,2014,Samir,m,UberBLACK,Phoenix,$39.00 ,1415,3:59 PM,4:40 PM,15,BLACK CAR,8.57,0:24:11
4/9/2014,4,2014,Roger,m,UberBLACK,Phoenix,$45.00 ,1415,8:58 AM,9:34 AM,8,BLACK CAR,10.23,0:27:08
4/9/2014,4,2014,Jerry,m,uberX,Phoenix,$44.63 ,1415,2:00 PM,2:55 PM,14,uberX,23.19,0:30:21
4/11/2014,4,2014,ULISSES,m,uberX,San Francisco,$20.02 ,1415,4:45 PM,5:06 PM,16,uberX,7.87,0:17:24
4/11/2014,4,2014,-,m,TAXI,San Francisco,,1415,4:44 PM,Dropoff time unknown,16,,,
4/12/2014,4,2014,Ralph,m,uberX,San Francisco,$9.08 ,1415,2:06 PM,2:20 PM,14,uberX,1.94,0:10:35
4/19/2014,4,2014,TARIQ,m,uberX,San Francisco,$6.00 ,1415,6:43 PM,6:55 PM,18,uberX,0.58,0:02:31
4/24/2014,4,2014,EMAD,m,,San Francisco,$6.00 ,1415,10:46 PM,10:52 PM,22,uberX,0.65,0:03:07
4/24/2014,4,2014,Kayode,m,uberX,San Francisco,$7.87 ,1415,9:00 PM,9:08 PM,21,uberX,1.02,0:03:13
5/5/2014,5,2014,Olawale,m,uberX,San Francisco,$31.32 ,1415,11:08 AM,11:29 AM,11,uberX,12.05,0:17:27
5/8/2014,5,2014,SLAVCHO,m,UberBLACK,Chicago,,1415,8:16 PM,,20,BLACK CAR,0.00,0:00:00
5/8/2014,5,2014,Adetokunbo,m,uberCAB,Chicago,,1415,7:58 PM,,19,CAB,0.00,0:00:00
5/8/2014,5,2014,OUMAR,m,UberBLACK,Chicago,$24.00 ,1415,8:18 PM,8:33 PM,20,BLACK CAR,3.98,0:09:17
5/9/2014,5,2014,Jamal,m,uberX,Chicago,,1415,7:40 AM,,7,uberX,0.00,0:00:00
5/9/2014,5,2014,Jamal,m,uberX,Chicago,,1415,7:38 AM,,7,uberX,0.00,0:00:00
5/9/2014,5,2014,Jamal,m,uberX,Chicago,,1415,7:34 AM,,7,uberX,0.00,0:00:00
5/11/2014,5,2014,Jonas,m,uberX,San Francisco,,1415,10:36 PM,Dropoff time unknown,22,uberX,0.00,0:00:00
5/11/2014,5,2014,branko,m,uberX,San Francisco,$7.49 ,1415,10:40 PM,10:48 PM,22,uberX,1.25,0:05:22
5/12/2014,5,2014,ALEXANDRE,m,uberX,San Francisco,$15.96 ,1415,6:46 AM,7:12 AM,6,uberX,4.49,0:17:24
5/13/2014,5,2014,Sami,m,,San Francisco,,1415,4:40 AM,,4,uberX,0.00,0:00:00
5/13/2014,5,2014,Sami,m,,San Francisco,$54.55 ,1415,4:41 AM,5:32 AM,4,uberX,25.70,0:26:41
5/14/2014,5,2014,Amy,f,uberX,Chicago,$16.01 ,1415,6:13 AM,6:42 AM,6,uberX,7.38,0:21:47
5/14/2014,5,2014,Stanley,m,uberX,Chicago,,1415,5:34 PM,,17,uberX,0.00,0:00:00
5/15/2014,5,2014,EARL,m,uberX,San Francisco,$6.23 ,1415,1:26 PM,1:41 PM,13,uberX,0.64,0:04:12
5/15/2014,5,2014,Jia,m,uberX,San Francisco,$10.82 ,1415,7:21 PM,7:34 PM,19,uberX,1.81,0:07:08
5/15/2014,5,2014,Ali,m,TAXI,San Francisco,$17.15 ,1415,2:47 PM,3:08 PM,14,TAXI,3.70,0:16:26
5/16/2014,5,2014,Danny,m,BLACK,San Francisco,,1415,9:32 AM,,9,BLACK CAR,0.00,0:00:00
5/16/2014,5,2014,Eldor,m,BLACK,San Francisco,$15.00 ,1415,10:00 AM,10:05 AM,10,BLACK CAR,0.38,0:01:36
5/16/2014,5,2014,Kevin,m,,San Francisco,$15.48 ,1415,11:17 AM,11:38 AM,11,uberX,4.88,0:13:53
5/16/2014,5,2014,-,m,uberX,San Francisco,,1415,9:29 AM,Dropoff time unknown,9,,,
5/17/2014,5,2014,Bekzhan,m,uberX,San Francisco,$6.00 ,1415,8:18 PM,8:29 PM,20,uberX,0.57,0:03:25
5/18/2014,5,2014,Ali,m,uberX,San Francisco,$6.65 ,1415,12:38 AM,12:45 AM,0,uberX,0.99,0:03:52
5/20/2014,5,2014,Mohammad,m,,San Francisco,$56.78 ,1415,5:36 AM,6:28 AM,5,uberX,26.42,0:30:30
5/29/2014,5,2014,Darren,m,uberX,San Francisco,$22.89 ,1415,11:11 AM,11:33 AM,11,uberX,8.71,0:19:24
6/3/2014,6,2014,ali,m,,San Francisco,$10.93 ,1415,8:33 PM,8:50 PM,20,uberX,2.86,0:08:48
